Sr No	Token	Original Token	UPOS	EngPOS	SPOS	case	Gender	Number	Person	Morphology Form	Lema	pronunciation
25	ڪرڻ	ڪر	VERB	VB 	فعل			Number = Sing		Morphology Form = Simple	ڪر	karan
26	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
27	.	.	PERIOD		پورو دم							Dot
1	گدڙ	گدڙ	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	گدڙ	gidar
2	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
3	سئو	سئو	NUM	CD 	صفت عددي					Morphology Form = Simple	سئو	Sao
4	سال	سال	NOUN	NN 	اسم		Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	سال	Saal
5	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
6	زندگي	زندگي	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	زندگي	Zindagi
7	کان	کان	ADP	IN 	حرفِ جر					Morphology Form = Simple	کان	khaan
8	شينهن	شينهن	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	شينهن	Sheenhn
9	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
10	هڪ	هڪ	NUM	CD 	صفت عددي					Morphology Form = Simple	هڪ	Hik
11	ڏينهن	ڏينهن	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing		Morphology Form = Simple	ڏينهن	Ddeenhn
12	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
13	زندگي	زندگي	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	زندگي	Zindagi
14	بهتر	بهتر	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Simple	بهتر	Behtar
15	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
16	.	.	PERIOD		پورو دم							Dot
1	پير	پير	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	پير	per
2	ٿي	ٿي	VERB	VB 	فعل					Morphology Form = Simple	ٿي	thee
3	سڙيا	سڙ	ADJ	JJ 	صفت					Morphology Form = Bound	سڙ	Sarrya
4	جوتن	جوتو	NOUN	NNS	اسم			Number = Plur		Morphology Form = Bound	جوتو	Jootan
5	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
6	دڪان	دڪان	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	دڪان	Dukaan
7	نظر	نظر	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	نظر	Nazar
8	آيو	آءَ	VERB	VBD 	فعل		Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	آءَ	Aayo
9	چيومانس	چئو	PRON	PRP 	ضمير					Morphology Form = Bound	چئو	chayomaans
10	پير	پير	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	پير	per
11	ٿا	ٿا	VERB	VB 	فعل					Morphology Form = Simple	ٿو	thaa
12	سڙن	سڙ	ADJ	JJ 	صفت					Morphology Form = Bound	سڙ	Sarran
13	جوتا	جوتو	NOUN	NNS	اسم			Number = Plur		Morphology Form = Simple	جوتو	Joota
14	ڏي	ڏي	VERB	VB 	فعل					Morphology Form = Simple	ڏي	Dde
15	چيائين	چئو	PRON	PRP 	ضمير					Morphology Form = Bound	چئو	chayaaeen
16	پئسا	پئسو	NOUN	NN 	اسم			Number = Plur		Morphology Form = Bound	پئسو	pesaa
17	اٿئي	اٿئي	VERB	VB 	فعل			Number = Sing		Morphology Form = Bound	اٿئي	Athai
18	چيومانس	چئو	PRON	PRP 	ضمير					Morphology Form = Bound	چئو	chayomaans
19	اوڌر	اوڌر	NOUN	NN 	اسم		Gender = Fem	Number = Sing		Morphology Form = Simple	اوڌر	Odhar
20	تي	تي	ADP	PRP 	حرفِ جر					Morphology Form = Simple	تي	Te
21	چيائين	چئو	PRON	PRP 	ضمير					Morphology Form = Bound	چئو	chayaaeen
22	تون	تون	PRON	PRP 	ضمير					Morphology Form = Simple	تون	Toon
23	ڪٿان	ڪٿ	ADV	RB 	ظرف					Morphology Form = Simple	ڪٿان	kithaan
24	ڏيندين	ڏي	VERB	VBG 	فعل					Morphology Form = Bound	ڏي	Ddeenden
25	چيومانس	چئو	PRON	PRP 	ضمير					Morphology Form = Bound	چئو	chayomaans
26	قيامت	قيامت	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	قيامت	Qyaamat
27	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
28	ڏينهن	ڏينهن	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing		Morphology Form = Simple	ڏينهن	Ddeenhn
29	الله	الله	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing		Morphology Form = Simple	الله	Allah
30	کان	کان	ADP	IN 	حرفِ جر					Morphology Form = Simple	کان	khaan
31	وٺي	وٺ	VERB	VB 	فعل					Morphology Form = Bound	وٺ	wathay
32	ڏيندس	ڏي	VERB	VB 	فعل					Morphology Form = Bound	ڏي	Ddeendus
33	.	.	PERIOD		پورو دم							Dot
1	پنهنجو	پنهنجو	PRON	PRP 	ضمير	Case = Possessive				Morphology Form = Bound	پنهنجو	pahenjo
2	وقت	وقت	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	وقت	Waqt
3	فضول	فضول	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	فضول	Fuzool
4	وضاحتن	وضاحت	NOUN	NN 	اسم	Case = ACC		Number = Plur		Morphology Form = Bound	وضاحت	Wazaahutan
5	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
6	برباد	برباد	NOUN	NN 	اسم	Case = ACC		Number = Sing		Morphology Form = Simple	برباد	Barbaad
7	نه	نه	ADV	RB 	ظرف					Morphology Form = Simple	نه	Na 
8	ڪيو	ڪيو	VERB	VB 	فعل					Morphology Form = Simple	ڪيو	kayo
9	،	،	PUNC		بيهڪ جي نشاني							
1	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
2	اهو	اهو	DET	DT 	ضمير اشارو		Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	اهو	Eho
3	ئي	ئي	ADV	RB 	ظرف					Morphology Form = Simple	ئي	Ee
4	ٻڌندا	ٻڌ	VERB	VB 	فعل					Morphology Form = Bound	ٻڌندو	Budhandaa
5	جيڪو	جيڪو	DET	DT 	ضمير اشارو					Morphology Form = Bound	جيڪو	Jeko
6	هُو	هُو	DET	DT 	ضمير اشارو					Morphology Form = Simple	هُو	Hoo
7	ٻڌڻ	ٻڌ	VERB	VB 	فعل					Morphology Form = Simple	ٻڌڻ	budhan
8	چاهين	چاه	VERB	VB 	فعل					Morphology Form = Bound	چاهي	chaheen
9	ٿا	ٿا	VERB	VB 	فعل					Morphology Form = Simple	ٿو	thaa
10	.	.	PERIOD		پورو دم							Dot
1	جنهن	جنهن	DET	DT 	ضمير اشارو					Morphology Form = Simple	جنهن	Jehen
2	هڪ	هڪ	NUM	CD 	صفت عددي					Morphology Form = Simple	هڪ	Hik
3	انسان	انسان	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	انسان	Insaan
4	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
5	قتل	قتل	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	قتل	Qatal
6	ڪيو	ڪيو	VERB	VB 	فعل					Morphology Form = Simple	ڪيو	kayo
7	ان	ان	DET	DT 	ضمير اشارو		Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ان	In
8	پوري	پوري	ADJ	JJ 	صفت					Morphology Form = Simple	پوري	poori
9	انسانيت	انسانيت	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	انسان	Insaanyat
10	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
11	قتل	قتل	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	قتل	Qatal
12	ڪيو	ڪيو	VERB	VB 	فعل					Morphology Form = Simple	ڪيو	kayo
13	.	.	PERIOD		پورو دم							Dot
1	مسلمان	مسلمان	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مسلمان	Muslmaan
2	اهو	اهو	DET	DT 	ضمير اشارو		Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	اهو	Eho
3	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
4	جنهن	جنهن	DET	DT 	ضمير اشارو					Morphology Form = Simple	جنهن	Jehen
5	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
6	هٿ	هٿ	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	هٿ	Hath
7	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
8	زبان	زبان	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	زبان	Zibaan
9	کان	کان	ADP	IN 	حرفِ جر					Morphology Form = Simple	کان	khaan
10	ٻيو	ٻيو	NUM	CD 	صفت عددي					Morphology Form = Simple	ٻيو	beio
11	مسلمان	مسلمان	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مسلمان	Muslmaan
12	محفوظ	محفوظ	ADJ	JJ 	صفت					Morphology Form = Simple	محفوظ	Mehfooz
13	رهي	ره	VERB	VB 	فعل					Morphology Form = Bound	رهي	Rahay
14	.	.	PERIOD		پورو دم							Dot
1	جڏهن	جڏهن	CONJ	CC 	حرف جملو					Morphology Form = Simple	جڏهن	Jadehn
2	معاشري	معاشري	NOUN	NN 	اسم	Case = Nom		Number = Sing		Morphology Form = Bound	معاشري	Muaashiray
3	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
4	غلط	غلط	ADJ	JJ 	صفت					Morphology Form = Simple	غلط	Ghalat
5	طريقو	طريقو	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	طريقو	Tareeqo
6	رائج	رائج	NOUN	NN 	اسم	Case = ACC				Morphology Form = Simple	رائج	Raaej
7	ٿي	ٿي	VERB	VB 	فعل					Morphology Form = Simple	ٿي	thee
8	وڃي	وڃ	VERB	VB 	فعل					Morphology Form = Bound	وڃ	waghhay
9	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
10	انجو	ان	PRON	PRP 	ضمير		Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	ان	Injo
11	سڌارو	سڌار	NOUN	JJ 	اسم		Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	سڌارو	Sudhaaro
12	فقط	فقط	ADV	RB 	ظرف					Morphology Form = Simple	فقط	Faqat
13	سمجھائڻ	سمجھ	VERB	VB 	فعل					Morphology Form = Bound	سمجھ	Samjhaaen
14	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
15	الزام	الزام	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	الزام	Ilzaam
16	لڳائڻ	لڳ	VERB	VB 	فعل					Morphology Form = Bound	لڳائڻ	Laghaaen
17	سان	سان	ADP	IN 	حرفِ جر					Morphology Form = Bound	سان	Saan
18	نه	نه	ADV	RB 	ظرف					Morphology Form = Simple	نه	Na 
19	ٿيندو	ٿي	VERB	VBG 	فعل					Morphology Form = Bound	ٿي	theendo
20	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
21	پر	پر	CONJ	CC 	حرف جملو					Morphology Form = Simple	پر	per
22	انجي	ان	PRON	PRP 	ضمير		Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	ان	Unjy
23	مقابلي	مقابل	NOUN	NN 	اسم					Morphology Form = Bound	مقابلي	Muqaable
24	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
25	صحيح	صحيح	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	صحيح	Saheeh
26	اصول	اصول	NOUN	NN 	اسم		Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	اصول	Usool
27	تي	تي	ADP	PRP 	حرفِ جر					Morphology Form = Simple	تي	Te
28	انصاف	انصاف	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	انصاف	Insaaf
29	ڪرڻ	ڪر	VERB	VB 	فعل			Number = Sing		Morphology Form = Simple	ڪر	karan
30	وارو	وارو	ADP	IN 	حرفِ جر					Morphology Form = Bound	وارو	Waaro
31	معاشرو	معاشرو	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	معاشرو	Muaashiro
32	ٺاهجي	ٺاه	VERB	VB 	فعل					Morphology Form = Bound	ٺاهجي	thaahjay
33	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
34	پوءِ	پوءِ	ADV	RB 	ظرف					Morphology Form = Simple	پوءِ	poe
35	انقلاب	انقلاب	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	انقلاب	Inqalaab
36	مفيد	مفيد	ADJ	JJ 	صفت					Morphology Form = Simple	مفيد	Mufeed
37	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
38	مڪمل	مڪمل	ADJ	JJ 	صفت					Morphology Form = Simple	مڪمل	Mukamal
39	ثابت	ثابت	NOUN	NN 	اسم		Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ثابت	Sabit
40	ٿيندو	ٿي	VERB	VBG 	فعل					Morphology Form = Bound	ٿي	theendo
41	.	.	PERIOD		پورو دم							Dot
1	جيڪڏهن	جيڪڏهن	CONJ	CC 	حرف جملو					Morphology Form = Bound	جيڪڏهن	Jekadahen
2	توهان	توهان	PRON	PRP 	ضمير					Morphology Form = Bound	توهان	Tawhaan
3	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
4	مذهب	مذهب	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مذهب	Mazhab
5	توهان	توهان	PRON	PRP 	ضمير					Morphology Form = Bound	توهان	Tawhaan
6	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
7	ڪنهن	ڪنهن	DET	DT 	ضمير اشارو					Morphology Form = Simple	ڪنهن	kehn
8	سان	سان	ADP	IN 	حرفِ جر					Morphology Form = Bound	سان	Saan
9	نفرت	نفرت	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	نفرت	Nafrat
10	ڪرڻ	ڪر	VERB	VB 	فعل			Number = Sing		Morphology Form = Simple	ڪر	karan
11	سيکاري	سيکار	VERB	VB 	فعل					Morphology Form = Bound	سيکار	Sekhaare
12	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
13	توهان	توهان	PRON	PRP 	ضمير					Morphology Form = Bound	توهان	Tawhaan
14	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
15	پنهنجو	پنهنجو	PRON	PRP 	ضمير	Case = Possessive				Morphology Form = Bound	پنهنجو	pahenjo
16	مذهب	مذهب	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مذهب	Mazhab
17	مٽائڻ	مٽاءِ	VERB	VB 	فعل					Morphology Form = Bound	مٽاءِ	Mitaaen
18	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
19	.	.	PERIOD		پورو دم							Dot
1	شادي	شادي	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	شادي	Shaadi
2	کانپوءِ	کان	ADP	IN 	حرفِ جر					Morphology Form = Bound	کانپوءِ	Khaanpoe
3	عورت	عورت	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	عورت	Aurat
4	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
5	محبت	محبت	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	محبت	
6	ختم	ختم	ADJ	JJ 	صفت					Morphology Form = Simple	ختم	Khatam
7	ٿي	ٿي	VERB	VB 	فعل					Morphology Form = Simple	ٿي	thee
8	وڃي	وڃ	VERB	VB 	فعل					Morphology Form = Bound	وڃ	waghhay
9	ٿي	ٿي	VERB	VB 	فعل					Morphology Form = Simple	ٿي	thee
10	.	.	PERIOD		پورو دم							Dot
1	سياري	سيارو	ADJ	JJ 	صفت					Morphology Form = Simple	سيارو	Siyaaray
2	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
3	سخت	سخت	ADJ	JJ 	صفت					Morphology Form = Simple	سخت	Sakht
4	سردي	سرد	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	سردي	Sardi
5	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
6	هُو	هُو	DET	DT 	ضمير اشارو					Morphology Form = Simple	هُو	Hoo
7	ڪم	ڪم	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ڪم	kam
8	ڪندو	ڪن	VERB	VBG 	فعل					Morphology Form = Bound	ڪندو	kando
9	رهيو	رهيو	VERB	VBD 	فعل					Morphology Form = Bound	رهيو	Rahyo
10	.	.	PERIOD		پورو دم							Dot
1	سنڌي	سنڌ	PROPN	NNP	اسم خاص	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	سنڌي	Sindhi
2	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
3	سهڻا	سهڻو	ADJ	JJ 	صفت					Morphology Form = Bound	سهڻو	Suhanaa
4	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
5	سادا	سادو	ADJ	JJ 	صفت					Morphology Form = Bound	سادو	Saada
6	آهن	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahin
7	.	.	PERIOD		پورو دم							Dot
1	سنڌي	سنڌ	PROPN	NNP	اسم خاص	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	سنڌي	Sindhi
2	دنيا	دنيا	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	دنيا	Duniyaa
3	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
4	گھڻي	گھڻي	ADJ	JJ 	صفت					Morphology Form = Simple	گھڻي	Ghanni
5	پراڻي	پراڻ	ADJ	JJ 	صفت					Morphology Form = Bound	پراڻي	Puraani
6	ٻولي	ٻول	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ٻولي	boli
7	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
8	جيڪا	جيڪو	DET	DT 	ضمير اشارو					Morphology Form = Simple	جيڪو	Jekaa
9	ڪيترن	ڪيترو	ADJ	JJ 	صفت					Morphology Form = Bound	ڪيترو	ketaran
10	ئي	ئي	ADV	RB 	ظرف					Morphology Form = Simple	ئي	Ee
11	ملڪن	ملڪ	NOUN	NN 	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	ملڪ	Mullkan
12	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
13	ڳالهائجي	ڳاله	ADJ	JJ 	صفت					Morphology Form = Bound	ڳاله	Ghaalhaaejay
14	ٿي	ٿي	VERB	VB 	فعل					Morphology Form = Simple	ٿي	thee
15	.	.	PERIOD		پورو دم							Dot
1	سنڌي	سنڌ	PROPN	NNP	اسم خاص	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	سنڌي	Sindhi
2	دنيا	دنيا	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	دنيا	Duniyaa
3	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
4	پراڻي	پراڻ	ADJ	JJ 	صفت					Morphology Form = Bound	پراڻي	Puraani
5	ٻولي	ٻول	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ٻولي	boli
6	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
7	قوم	قوم	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	قوم	Qoam
8	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
9	.	.	PERIOD		پورو دم							Dot
1	سنڌي	سنڌ	PROPN	NNP	اسم خاص	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	سنڌي	Sindhi
2	تهذيب	تهذيب	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	تهذيب	Tahzeeb
3	دنيا	دنيا	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	دنيا	Duniyaa
4	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
5	اڪثر	اڪثر	ADV	RB 	ظرف			Number = Sing		Morphology Form = Simple	اڪثر	Aksar
6	تهذيبن	تهذيب	NOUN	NNS	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	تهذيب	Tahzeebun
7	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
8	ماءُ	ماءُ	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ماءُ	Maau
9	رهي	ره	VERB	VB 	فعل					Morphology Form = Bound	رهي	Rahay
10	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
11	.	.	PERIOD		پورو دم							Dot
1	سنڌي	سنڌ	PROPN	NNP	اسم خاص	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	سنڌي	Sindhi
2	ٻولي	ٻول	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ٻولي	boli
3	عربي	عرب	ADJ	JJ 	صفت					Morphology Form = Simple	عربي	Arabi
4	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
5	ديوناگري	ديوناگري	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	ديوناگري	Devnaagri
6	طريقن	طريقو	NOUN	NNS	اسم	Case = ACC		Number = Plur		Morphology Form = Bound	طريقو	Tareeqan
7	سان	سان	ADP	IN 	حرفِ جر					Morphology Form = Bound	سان	Saan
8	لکي	لک	VERB	VB 	فعل					Morphology Form = Bound	لک	Likhay
9	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
10	پڙهي	پڙه	VERB	VB 	فعل					Morphology Form = Bound	پڙهي	parhay
11	وڃي	وڃ	VERB	VB 	فعل					Morphology Form = Bound	وڃ	waghhay
12	ٿي	ٿي	VERB	VB 	فعل					Morphology Form = Simple	ٿي	thee
13	.	.	PERIOD		پورو دم							Dot
1	سنڌي	سنڌ	PROPN	NNP	اسم خاص	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	سنڌي	Sindhi
2	ٻولي	ٻول	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ٻولي	boli
3	سڄي	سڄ	ADJ	JJ 	صفت					Morphology Form = Bound	سڄي	Sajji
4	دنيا	دنيا	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	دنيا	Duniyaa
5	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
6	ڳالهائي	ڳاله	VERB	VB 	فعل					Morphology Form = Bound	ڳاله	Ghaalhaae
7	وڃي	وڃ	VERB	VB 	فعل					Morphology Form = Bound	وڃ	waghhay
8	ٿي	ٿي	VERB	VB 	فعل					Morphology Form = Simple	ٿي	thee
9	.	.	PERIOD		پورو دم							Dot
1	سنڌي	سنڌ	PROPN	NNP	اسم خاص	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	سنڌي	Sindhi
2	ٻولي	ٻول	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ٻولي	boli
3	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
4	شمار	شمار	ADJ	JJ 	صفت					Morphology Form = Simple	شمار	Shumaar
5	دنيا	دنيا	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	دنيا	Duniyaa
6	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
7	قديمترين	قديم	ADJ	JJ 	صفت					Morphology Form = Bound	قديم	Qadeemtareen
8	ٻولين	ٻول	NOUN	NNS	اسم	Case = ACC		Number = Plur		Morphology Form = Bound	ٻولي	boolian
9	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
10	ٿئي	ٿي	VERB	VB 	فعل					Morphology Form = Bound	ٿئي	theeay
11	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
12	.	.	PERIOD		پورو دم							Dot
1	سنڌ	سنڌ	PROPN	NNP	اسم خاص	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	سنڌ	Sindh
2	هڪ	هڪ	NUM	CD 	صفت عددي					Morphology Form = Simple	هڪ	Hik
3	خوشحال	خوش	ADJ	JJ 	صفت	Case = Nom				Morphology Form = Bound	خوش	Khush'haal
4	خطو	خط	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	خطو	Khito
5	رهيو	رهيو	VERB	VBD 	فعل					Morphology Form = Bound	رهيو	Rahyo
6	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
7	.	.	PERIOD		پورو دم							Dot
1	سنڌ	سنڌ	PROPN	NNP	اسم خاص	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	سنڌ	Sindh
2	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
3	آ	آ	VERB		فعل			Number = Sing		Morphology Form = Simple		Aa
4	ساھ	ساھ	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ساھ	Saah
